100 5
0 8.829458 8.892800
1 7.798938 6.940972
2 5.060435 3.860731
3 0.383164 6.340895
4 6.189564 9.919369
5 2.730157 7.540185
6 2.062910 5.302389
7 9.105594 3.733513
8 2.824342 4.111694
9 8.917421 9.422248
10 4.883689 6.805795
11 8.689424 9.449602
12 5.902768 0.802485
13 1.239455 3.802175
14 4.453048 1.173609
15 8.498555 3.282506
16 0.066410 6.297492
17 0.223478 5.126844
18 0.158223 0.606642
19 1.467740 6.347787
20 0.526011 4.197897
21 3.887972 2.588921
22 9.500286 2.993566
23 6.322434 2.324628
24 7.105260 5.239855
25 1.746876 1.988949
26 2.045650 0.436300
27 1.438551 7.948418
28 1.238786 2.678006
29 1.750593 5.691834
30 3.851616 0.249148
31 8.974340 3.918025
32 6.546640 9.197819
33 9.044870 6.704863
34 9.804461 0.512609
35 3.052650 0.330472
36 4.710507 6.940621
37 2.919393 4.210792
38 9.934187 9.241827
39 6.535420 7.039447
40 4.481682 8.282297
41 9.028396 6.527332
42 8.718597 0.466947
43 4.475751 9.957383
44 3.144953 6.226344
45 5.649217 6.996569
46 6.475491 4.623557
47 0.914594 3.022131
48 3.821375 9.959464
49 9.726994 3.625836
50 0.472074 2.779644
51 3.956308 5.182580
52 9.720265 6.875701
53 9.393373 9.654452
54 6.117528 5.928793
55 6.693900 0.599210
56 4.211089 5.722296
57 7.126542 2.929686
58 6.189243 1.602292
59 2.887069 9.334196
60 7.828636 8.536286
61 6.330765 4.304127
62 3.159842 7.245359
63 7.326259 6.981218
64 7.204824 7.053253
65 0.607054 7.676897
66 9.832897 4.563362
67 2.859477 9.553162
68 1.439063 2.252850
69 9.207614 7.556591
70 8.181643 5.901514
71 8.155800 2.392732
72 1.623809 5.282342
73 5.322418 7.813052
74 6.884634 8.209487
75 7.147248 4.713270
76 6.745773 3.478013
77 9.017398 9.905615
78 0.723373 6.343657
79 6.886833 7.928196
80 3.396909 7.493887
81 5.605094 3.229806
82 2.057249 8.464571
83 2.782968 3.496312
84 0.717421 1.990582
85 1.052902 8.899063
86 7.892096 9.208703
87 1.291795 9.515905
88 4.491045 6.614214
89 7.328957 1.375679
90 4.823701 4.476205
91 6.088949 1.569474
92 7.954219 5.106347
93 1.475090 8.677592
94 1.450004 8.361923
95 6.605788 4.846913
96 5.855810 2.210881
97 8.076720 7.913059
98 0.675452 0.859687
99 1.409370 1.392873
